NHM_Specimen,Species,Subspecies,Sex,file_url,filename
10429021,erato,notabilis,female,https://github.com/Imageomics/dashboard-prototype/raw/main/test_data/images/ventral_images/10429021_V_lowres.png,10429021_V_lowres.jpg
10428972,erato,petiverana,male,https://github.com/Imageomics/dashboard-prototype/raw/main/test_data/images/ventral_images/10428972_V_lowres.png,10428972_V_lowres.jpg
10429172,erato,petiverana,male,,
10428595,erato,phyllis,male,https://github.com/Imageomics/dashboard-prototype/raw/main/test_data/images/dorsal_images/10428595_D_lowres.png,10428595_D_lowres.jpg
10428140,melpomene,plesseni,male,https://github.com/Imageomics/dashboard-prototype/raw/main/test_data/images/ventral_images/10428140_V_lowres.png,10428140_V_lowres.jpg
10428250,melpomene,schunkei,male,https://github.com/Imageomics/dashboard-prototype/raw/main/test_data/images/ventral_images/10428250_V_lowres.png,10428250_V_lowres.jpg
10427979,melpomene,rosina_S,male,,
10428803,erato,guarica,female,https://github.com/Imageomics/dashboard-prototype/raw/main/test_data/images/dorsal_images/10428803_D_lowres.png,10428803_D_lowres.jpg
10428169,melpomene,plesseni,male,https://github.com/Imageomics/dashboard-prototype/raw/main/test_data/images/ventral_images/10428169_V_lowres.png,10428169_V_lowres.jpg
10428321,melpomene,nanna,male,https://github.com/Imageomics/dashboard-prototype/raw/main/test_data/images/dorsal_images/10428321_D_lowres.png,10428321_D_lowres.jpg
